Year,FIPS,State,County,Year,health_outcomes_rank,health_factors_rank,life_length_rank,life_quality_rank,health_behav_rank,clinical_care_rank,socio_econ_fact_rank,physical_env_rank,premature_deaths,premature_death_ypll_rate,ypll_black,ypll_hispanic,ypll_white,life_expectancy,life_expectancy_black,life_expectancy_hispanic,life_expectancy_white,poor_or_fair_health_percent,poor_physical_health_days_avg,adult_smoking_percent,excessive_drinking_percent,adult_obesity_percent,food_env_index,uninsured_percent,number_of_diabetics,percent_receiving_hba1c,percent_receiving_hba1c_black,percent_receiving_hba1c_white,AFGR,hs_grad_rate,PSED_completion_rate,unemployed_percent,income_inequality_GINI,income_ineq_80th_percentile_income,income_ineq_20th_percentile_income,income_ineq_income_ratio,percent_no_emo_social_support,percent_access_healthy_food_access,percent_limited_access_healthy_food_access,percent_food_insecure,percent_fast_food,access_exercise_opp_percent,access_rec_fac_rate,park_access_percent,diabetic_percent,binge_drinking_percent,physical_inactivity_percent,median_household_income,res_segregation_index_black_white,res_segregation_index_nonwh_white,liquor_store_density_rate,african_american_percent,american_indian_percent,asian_percent,pacific_islander_percent,hispanic_percent,nonhispanic_white_percent,not_eng_prof_percent,female,rural
2011,22019,Louisiana,Calcasieu,2011,32,15,42,19,39,9,10,39,2877,11587,,,,,,,,17,3.7,24,17,34,,29,1130,82,,,70,,51,6.4,,,,,21,79,,,,,9,,12,16,31,44826,,,4,24.5,0.3,0.8,0,2.3,,1.7,51.2,22.4
2011,22021,Louisiana,Caldwell,2011,14,38,20,7,11,61,40,51,172,10054,,,,,,,,19,4.4,20,,31,,32,83,81,,,65,,29.2,9.5,,,,,,33,,,,,0,,11,,28,34298,,,0,18,0.5,0.2,0,1.7,,0.6,49.1,100
2011,22023,Louisiana,Cameron,2011,3,5,4,3,3,54,2,43,109,8706,,,,,,,,20,2.1,22,14,30,,40,26,85,,,80,,51.3,5.7,,,,,,50,,,,,0,,11,13,29,49984,,,0,3.9,0.6,0.7,0,4.3,,3.4,48,100
2011,22025,Louisiana,Catahoula,2011,53,55,30,64,43,46,55,58,181,10740,,,,,,,,27,5.2,27,7,32,,30,89,67,,,60,,30.1,10.3,,,,,26,20,,,,,0,,13,6,34,31236,,,0,27.9,0.2,0.1,0,1.1,,0.4,49.5,100
2011,22027,Louisiana,Claiborne,2011,30,49,36,23,32,31,54,54,239,10933,,,,,,,,21,3.9,25,11,33,,27,116,81,,,60,,35.9,9.3,,,,,17,20,,,,,0,,13,9,33,31386,,,18,48.1,0.2,0.1,0,1.1,,0.5,47.9,78.1
2011,22029,Louisiana,Concordia,2011,62,52,61,62,37,22,58,13,396,13729,,,,,,,,20,4.2,23,13,33,,23,113,68,,,65,,34.4,11.3,,,,,23,40,,,,,11,,12,13,35,29807,,,5,39.3,0.2,0.3,0,2.1,,1.1,51,38.4
2011,22031,Louisiana,De Soto,2011,41,50,32,53,51,51,36,53,431,10805,,,,,,,,22,3.9,24,14,34,,29,179,65,,,60,,42.4,8.5,,,,,24,13,,,,,4,,13,14,33,37490,,,19,38.6,0.5,0.1,0,2.3,,1.4,52,73.5
2011,22033,Louisiana,East Baton Rouge,2011,19,6,26,18,2,3,22,55,5435,10364,,,,,,,,15,3.1,20,16,30,,25,1433,78,,,60,,64.9,6.2,,,,,24,75,,,,,14,,11,15,26,46563,,,3,44.4,0.3,2.4,0,3.1,,2.7,51.9,7.1
2011,22035,Louisiana,East Carroll,2011,64,64,64,45,60,52,64,48,160,15943,,,,,,,,20,2.9,,8,36,,22,76,68,,,70,,27.3,13.1,,,,,,33,,,,,0,,14,8,36,25100,,,0,67.6,0.2,0.4,0,1.7,,0.1,48.1,36.5
2011,22037,Louisiana,East Feliciana,2011,49,37,59,20,52,43,25,36,388,13321,,,,,,,,21,2.5,26,10,35,,30,101,72,,,65,,40.3,7.2,,,,,21,50,,,,,5,,13,9,29,39244,,,0,43.7,0.2,0.3,0,1,,0.8,46.4,83.4
2011,22039,Louisiana,Evangeline,2011,46,39,37,61,35,39,42,35,548,10936,,,,,,,,25,4.8,26,15,32,,21,177,67,,,55,,38.6,8.1,,,,,22,75,,,,,3,,11,14,33,29733,,,3,29.4,0.3,0.3,0,1.4,,4.9,50,59.4
2011,22041,Louisiana,Franklin,2011,54,62,55,47,64,49,57,18,347,12582,,,,,,,,26,4.2,31,11,35,,30,187,78,,,65,,29.4,10.8,,,,,21,60,,,,,5,,12,11,36,29904,,,0,30.5,0.3,0.2,0,1.1,,0,52,69.8
2011,22043,Louisiana,Grant,2011,44,43,51,31,49,53,28,51,345,12341,,,,,,,,22,4.7,31,10,32,,33,117,79,,,65,,43.7,7.9,,,,,27,33,,,,,0,,11,9,31,38896,,,5,11.3,0.9,0.2,0,1.5,,1.1,50.8,100
